Byear	Mean	STD
1932	0.0028342	0.0199969
1933	0.0028170	0.0189494
1934	0.0028728	0.0188167
1935	0.0028398	0.0183997
1936	0.0027966	0.0178464
1937	0.0027750	0.0178778
1938	0.0027647	0.0174479
1939	0.0027671	0.0178235
1940	0.0029611	0.0180031
1941	0.0029382	0.0181547
1942	0.0029650	0.0183858
1943	0.0027449	0.0179154
1944	0.0028902	0.0183312
1945	0.0029483	0.0187016
1946	0.0030270	0.018821
1947	0.0029340	0.0186704
1948	0.0031987	0.0193792
1949	0.0030780	0.0189456
1950	0.0033183	0.0196621
1951	0.0033225	0.0196451
1952	0.0034296	0.0198283
1953	0.0033701	0.0197548
1954	0.0034118	0.0193839
1955	0.0035826	0.0199273
1956	0.0035467	0.0193212
1957	0.0035374	0.0190928
1958	0.0034100	0.0182927
1959	0.0034070	0.0181888
1960	0.0033161	0.0174638
1961	0.0031694	0.0166784
1962	0.0029807	0.0156579
1963	0.0029562	0.0152054
1964	0.0027349	0.0142596
1965	0.0025763	0.013607
1966	0.0025330	0.0131097
1967	0.0024606	0.0128236
1968	0.0022496	0.0119387
1969	0.0021320	0.0114071
1970	0.0020345	0.011091
1971	0.0020175	0.0107454
1972	0.0019235	0.0103246
1973	0.0018790	0.0101975
1974	0.0018912	0.0101005
1975	0.0018669	0.0099039
1976	0.0018011	0.0097286
1977	0.0017695	0.0096203
1978	0.0018883	0.0097254
1979	0.0019171	0.0096666
1980	0.0018595	0.009591
1981	0.0019243	0.0095713
1982	0.0020113	0.0097458
1983	0.0020254	0.0097656
1984	0.0019845	0.0094464
1985	0.0020390	0.0094747
1986	0.0020182	0.0093561
1987	0.0020457	0.0092072
1988	0.0019681	0.0090591
1989	0.0020549	0.0090732
1990	0.0019729	0.0087762
1991	0.0019182	0.0085947
1992	0.0018575	0.0084055
1993	0.0018264	0.0082544
1994	0.0018245	0.0081618
1995	0.0017533	0.0078501
