Byear	Mean	STD
1932	0.0021095	0.0291541
1933	0.0020249	0.0269473
1934	0.0017518	0.0245598
1935	0.0018480	0.0245305
1936	0.0018623	0.0239735
1937	0.0019480	0.0242571
1938	0.0018060	0.0229687
1939	0.0017880	0.0221939
1940	0.0018753	0.0225068
1941	0.0020171	0.0229741
1942	0.0019083	0.0222802
1943	0.0018398	0.0217511
1944	0.0019307	0.0228683
1945	0.0020144	0.0229732
1946	0.0018919	0.0222747
1947	0.0019758	0.0229566
1948	0.0019600	0.0227958
1949	0.0019179	0.0228337
1950	0.0019608	0.0220641
1951	0.0018261	0.0219535
1952	0.0019782	0.0222781
1953	0.0019127	0.0217236
1954	0.0017609	0.0210726
1955	0.0018419	0.0211631
1956	0.0017366	0.0206541
1957	0.0017753	0.0203324
1958	0.0016138	0.0195657
1959	0.0016248	0.0185001
1960	0.0015638	0.0182531
1961	0.0014912	0.0172878
1962	0.0013981	0.0164077
1963	0.0012652	0.0156052
1964	0.0011681	0.0144453
1965	0.0011249	0.0136268
1966	0.0010933	0.0134642
1967	0.0010447	0.0128019
1968	0.000958869	0.0120691
1969	0.000948824	0.0117266
1970	0.000896250	0.0115304
1971	0.000870659	0.0111423
1972	0.000851613	0.0109078
1973	0.000826825	0.0104656
1974	0.000712385	0.0098188
1975	0.000723210	0.0098817
1976	0.000757164	0.0097553
1977	0.000678451	0.0096118
1978	0.000668343	0.0096127
1979	0.000653996	0.0090344
1980	0.000643582	0.0090928
1981	0.000605594	0.0088852
1982	0.000601139	0.009047
1983	0.000582013	0.0084583
1984	0.000575794	0.0086772
1985	0.000576369	0.0084305
1986	0.000504074	0.0078971
1987	0.000556313	0.007882
1988	0.000533954	0.0078229
1989	0.000457995	0.0074138
1990	0.000484691	0.0071708
1991	0.000467730	0.0070647
1992	0.000455120	0.006906
1993	0.000399946	0.006645
1994	0.000381371	0.0063261
1995	0.000336834	0.0060612
